Site,Date,Hour,ED Enc,ED Enc Admitted,Year,Month,Day,Weekday
A,2018-01-22,1,12,1,2018,1,22,1
A,2018-01-22,2,35,13,2018,1,22,1
A,2018-01-22,3,40,11,2018,1,22,1
A,2018-01-22,4,39,9,2018,1,22,1
A,2018-01-23,1,11,4,2018,1,23,2
A,2018-01-23,2,30,10,2018,1,23,2
A,2018-01-23,3,49,17,2018,1,23,2
A,2018-01-23,4,48,6,2018,1,23,2
A,2018-01-24,1,18,4,2018,1,24,3
A,2018-01-24,2,35,10,2018,1,24,3
A,2018-01-24,3,38,14,2018,1,24,3
A,2018-01-24,4,39,10,2018,1,24,3
A,2018-01-25,1,15,4,2018,1,25,4
A,2018-01-25,2,33,13,2018,1,25,4
A,2018-01-25,3,36,13,2018,1,25,4
A,2018-01-25,4,32,8,2018,1,25,4
A,2018-01-26,1,14,4,2018,1,26,5
A,2018-01-26,2,31,7,2018,1,26,5
A,2018-01-26,3,41,16,2018,1,26,5
A,2018-01-26,4,39,13,2018,1,26,5
A,2018-01-27,1,13,2,2018,1,27,6
A,2018-01-27,2,33,4,2018,1,27,6
A,2018-01-27,3,46,17,2018,1,27,6
A,2018-01-27,4,45,11,2018,1,27,6
A,2018-01-28,1,13,5,2018,1,28,7
A,2018-01-28,2,39,12,2018,1,28,7
A,2018-01-28,3,43,17,2018,1,28,7
A,2018-01-28,4,35,7,2018,1,28,7
A,2018-01-29,1,16,7,2018,1,29,1
A,2018-01-29,2,27,11,2018,1,29,1
A,2018-01-29,3,49,15,2018,1,29,1
A,2018-01-29,4,38,11,2018,1,29,1
A,2018-01-30,1,13,3,2018,1,30,2
A,2018-01-30,2,42,13,2018,1,30,2
A,2018-01-30,3,31,7,2018,1,30,2
A,2018-01-30,4,45,11,2018,1,30,2
A,2018-01-31,1,15,3,2018,1,31,3
A,2018-01-31,2,31,18,2018,1,31,3
A,2018-01-31,3,48,18,2018,1,31,3
A,2018-01-31,4,45,11,2018,1,31,3
A,2018-02-01,1,11,7,2018,2,1,4
A,2018-02-01,2,26,9,2018,2,1,4
A,2018-02-01,3,38,13,2018,2,1,4
A,2018-02-01,4,42,13,2018,2,1,4
A,2018-02-02,1,16,6,2018,2,2,5
A,2018-02-02,2,21,9,2018,2,2,5
A,2018-02-02,3,44,14,2018,2,2,5
A,2018-02-02,4,34,7,2018,2,2,5
A,2018-02-03,1,15,3,2018,2,3,6
A,2018-02-03,2,28,8,2018,2,3,6
A,2018-02-03,3,44,7,2018,2,3,6
A,2018-02-03,4,51,7,2018,2,3,6
A,2018-02-04,1,25,8,2018,2,4,7
A,2018-02-04,2,35,12,2018,2,4,7
A,2018-02-04,3,44,14,2018,2,4,7
A,2018-02-04,4,36,7,2018,2,4,7
A,2018-02-05,1,22,4,2018,2,5,1
A,2018-02-05,2,33,13,2018,2,5,1
A,2018-02-05,3,40,14,2018,2,5,1
A,2018-02-05,4,59,18,2018,2,5,1
A,2018-02-06,1,9,2,2018,2,6,2
A,2018-02-06,2,28,10,2018,2,6,2
A,2018-02-06,3,38,11,2018,2,6,2
A,2018-02-06,4,44,9,2018,2,6,2
A,2018-02-07,1,17,9,2018,2,7,3
A,2018-02-07,2,21,5,2018,2,7,3
A,2018-02-07,3,48,10,2018,2,7,3
A,2018-02-07,4,46,10,2018,2,7,3
A,2018-02-08,1,13,3,2018,2,8,4
A,2018-02-08,2,23,6,2018,2,8,4
A,2018-02-08,3,47,13,2018,2,8,4
A,2018-02-08,4,41,12,2018,2,8,4
A,2018-02-09,1,13,5,2018,2,9,5
A,2018-02-09,2,24,6,2018,2,9,5
A,2018-02-09,3,41,14,2018,2,9,5
A,2018-02-09,4,35,8,2018,2,9,5
A,2018-02-10,1,14,3,2018,2,10,6
A,2018-02-10,2,24,5,2018,2,10,6
A,2018-02-10,3,43,16,2018,2,10,6
A,2018-02-10,4,38,6,2018,2,10,6
A,2018-02-11,1,22,5,2018,2,11,7
A,2018-02-11,2,25,4,2018,2,11,7
A,2018-02-11,3,39,10,2018,2,11,7
A,2018-02-11,4,44,8,2018,2,11,7
A,2018-02-12,1,18,6,2018,2,12,1
A,2018-02-12,2,31,16,2018,2,12,1
A,2018-02-12,3,49,19,2018,2,12,1
A,2018-02-12,4,43,14,2018,2,12,1
A,2018-02-13,1,16,5,2018,2,13,2
A,2018-02-13,2,36,9,2018,2,13,2
A,2018-02-13,3,49,18,2018,2,13,2
A,2018-02-13,4,45,9,2018,2,13,2
A,2018-02-14,1,21,10,2018,2,14,3
A,2018-02-14,2,29,9,2018,2,14,3
A,2018-02-14,3,36,17,2018,2,14,3
A,2018-02-14,4,42,8,2018,2,14,3
A,2018-02-15,1,18,6,2018,2,15,4
A,2018-02-15,2,26,4,2018,2,15,4
A,2018-02-15,3,44,7,2018,2,15,4
A,2018-02-15,4,36,8,2018,2,15,4
A,2018-02-16,1,10,3,2018,2,16,5
A,2018-02-16,2,19,8,2018,2,16,5
A,2018-02-16,3,48,9,2018,2,16,5
A,2018-02-16,4,52,17,2018,2,16,5
A,2018-02-17,1,18,5,2018,2,17,6
A,2018-02-17,2,29,7,2018,2,17,6
A,2018-02-17,3,53,16,2018,2,17,6
A,2018-02-17,4,47,14,2018,2,17,6
A,2018-02-18,1,20,6,2018,2,18,7
A,2018-02-18,2,25,6,2018,2,18,7
A,2018-02-18,3,48,9,2018,2,18,7
A,2018-02-18,4,47,13,2018,2,18,7
A,2018-02-19,1,23,7,2018,2,19,1
A,2018-02-19,2,19,9,2018,2,19,1
A,2018-02-19,3,57,17,2018,2,19,1
A,2018-02-19,4,39,13,2018,2,19,1
A,2018-02-20,1,10,1,2018,2,20,2
A,2018-02-20,2,23,4,2018,2,20,2
A,2018-02-20,3,38,9,2018,2,20,2
A,2018-02-20,4,30,10,2018,2,20,2
A,2018-02-21,1,18,6,2018,2,21,3
A,2018-02-21,2,30,7,2018,2,21,3
A,2018-02-21,3,37,15,2018,2,21,3
A,2018-02-21,4,44,6,2018,2,21,3
A,2018-02-22,1,8,4,2018,2,22,4
A,2018-02-22,2,30,8,2018,2,22,4
A,2018-02-22,3,36,16,2018,2,22,4
A,2018-02-22,4,36,10,2018,2,22,4
A,2018-02-23,1,20,5,2018,2,23,5
A,2018-02-23,2,23,7,2018,2,23,5
A,2018-02-23,3,33,8,2018,2,23,5
A,2018-02-23,4,36,9,2018,2,23,5
A,2018-02-24,1,9,1,2018,2,24,6
A,2018-02-24,2,26,9,2018,2,24,6
A,2018-02-24,3,45,8,2018,2,24,6
A,2018-02-24,4,30,13,2018,2,24,6
A,2018-02-25,1,10,3,2018,2,25,7
A,2018-02-25,2,33,5,2018,2,25,7
A,2018-02-25,3,39,10,2018,2,25,7
A,2018-02-25,4,37,6,2018,2,25,7
A,2018-02-26,1,16,7,2018,2,26,1
A,2018-02-26,2,37,11,2018,2,26,1
A,2018-02-26,3,50,17,2018,2,26,1
A,2018-02-26,4,37,13,2018,2,26,1
A,2018-02-27,1,15,5,2018,2,27,2
A,2018-02-27,2,33,12,2018,2,27,2
A,2018-02-27,3,32,11,2018,2,27,2
A,2018-02-27,4,43,7,2018,2,27,2
A,2018-02-28,1,17,5,2018,2,28,3
A,2018-02-28,2,27,8,2018,2,28,3
A,2018-02-28,3,44,14,2018,2,28,3
A,2018-02-28,4,32,7,2018,2,28,3
A,2018-03-01,1,13,3,2018,3,1,4
A,2018-03-01,2,20,3,2018,3,1,4
A,2018-03-01,3,42,13,2018,3,1,4
A,2018-03-01,4,40,8,2018,3,1,4
A,2018-03-02,1,11,1,2018,3,2,5
A,2018-03-02,2,23,9,2018,3,2,5
A,2018-03-02,3,44,9,2018,3,2,5
A,2018-03-02,4,33,7,2018,3,2,5
A,2018-03-03,1,12,1,2018,3,3,6
A,2018-03-03,2,25,3,2018,3,3,6
A,2018-03-03,3,32,11,2018,3,3,6
A,2018-03-03,4,41,12,2018,3,3,6
A,2018-03-04,1,15,4,2018,3,4,7
A,2018-03-04,2,36,14,2018,3,4,7
A,2018-03-04,3,41,14,2018,3,4,7
A,2018-03-04,4,34,8,2018,3,4,7
A,2018-03-05,1,10,5,2018,3,5,1
A,2018-03-05,2,25,2,2018,3,5,1
A,2018-03-05,3,30,13,2018,3,5,1
A,2018-03-05,4,32,7,2018,3,5,1
A,2018-03-06,1,7,1,2018,3,6,2
A,2018-03-06,2,27,11,2018,3,6,2
A,2018-03-06,3,44,17,2018,3,6,2
A,2018-03-06,4,40,10,2018,3,6,2
A,2018-03-07,1,16,5,2018,3,7,3
A,2018-03-07,2,22,5,2018,3,7,3
A,2018-03-07,3,41,15,2018,3,7,3
A,2018-03-07,4,54,17,2018,3,7,3
A,2018-03-08,1,12,2,2018,3,8,4
A,2018-03-08,2,31,10,2018,3,8,4
A,2018-03-08,3,23,8,2018,3,8,4
A,2018-03-08,4,28,9,2018,3,8,4
A,2018-03-09,1,13,2,2018,3,9,5
A,2018-03-09,2,28,10,2018,3,9,5
A,2018-03-09,3,43,17,2018,3,9,5
A,2018-03-09,4,35,11,2018,3,9,5
A,2018-03-10,1,10,2,2018,3,10,6
A,2018-03-10,2,27,4,2018,3,10,6
A,2018-03-10,3,46,16,2018,3,10,6
A,2018-03-10,4,25,6,2018,3,10,6
A,2018-03-11,1,16,5,2018,3,11,7
A,2018-03-11,2,24,8,2018,3,11,7
A,2018-03-11,3,55,14,2018,3,11,7
A,2018-03-11,4,35,12,2018,3,11,7
A,2018-03-12,1,15,4,2018,3,12,1
A,2018-03-12,2,15,5,2018,3,12,1
A,2018-03-12,3,50,14,2018,3,12,1
A,2018-03-12,4,38,15,2018,3,12,1
A,2018-03-13,1,12,6,2018,3,13,2
A,2018-03-13,2,24,7,2018,3,13,2
A,2018-03-13,3,29,13,2018,3,13,2
A,2018-03-13,4,40,9,2018,3,13,2
A,2018-03-14,1,21,6,2018,3,14,3
A,2018-03-14,2,25,7,2018,3,14,3
A,2018-03-14,3,54,19,2018,3,14,3
A,2018-03-14,4,48,10,2018,3,14,3
A,2018-03-15,1,12,6,2018,3,15,4
A,2018-03-15,2,31,12,2018,3,15,4
A,2018-03-15,3,36,10,2018,3,15,4
A,2018-03-15,4,29,12,2018,3,15,4
A,2018-03-16,1,9,2,2018,3,16,5
A,2018-03-16,2,22,8,2018,3,16,5
A,2018-03-16,3,33,14,2018,3,16,5
A,2018-03-16,4,28,6,2018,3,16,5
A,2018-03-17,1,10,3,2018,3,17,6
A,2018-03-17,2,30,9,2018,3,17,6
A,2018-03-17,3,40,9,2018,3,17,6
A,2018-03-17,4,35,8,2018,3,17,6
A,2018-03-18,1,12,3,2018,3,18,7
A,2018-03-18,2,26,7,2018,3,18,7
A,2018-03-18,3,32,9,2018,3,18,7
A,2018-03-18,4,39,4,2018,3,18,7
A,2018-03-19,1,7,1,2018,3,19,1
A,2018-03-19,2,22,8,2018,3,19,1
A,2018-03-19,3,50,19,2018,3,19,1
A,2018-03-19,4,38,6,2018,3,19,1
A,2018-03-20,1,12,5,2018,3,20,2
A,2018-03-20,2,26,7,2018,3,20,2
A,2018-03-20,3,45,14,2018,3,20,2
A,2018-03-20,4,44,13,2018,3,20,2
A,2018-03-21,1,12,5,2018,3,21,3
A,2018-03-21,2,30,10,2018,3,21,3
A,2018-03-21,3,30,9,2018,3,21,3
A,2018-03-21,4,41,10,2018,3,21,3
A,2018-03-22,1,18,6,2018,3,22,4
A,2018-03-22,2,25,9,2018,3,22,4
A,2018-03-22,3,30,9,2018,3,22,4
A,2018-03-22,4,46,11,2018,3,22,4
A,2018-03-23,1,13,4,2018,3,23,5
A,2018-03-23,2,23,7,2018,3,23,5
A,2018-03-23,3,39,12,2018,3,23,5
A,2018-03-23,4,36,8,2018,3,23,5
A,2018-03-24,1,9,1,2018,3,24,6
A,2018-03-24,2,25,7,2018,3,24,6
A,2018-03-24,3,43,10,2018,3,24,6
A,2018-03-24,4,32,7,2018,3,24,6
A,2018-03-25,1,11,4,2018,3,25,7
A,2018-03-25,2,21,4,2018,3,25,7
A,2018-03-25,3,46,15,2018,3,25,7
A,2018-03-25,4,43,11,2018,3,25,7
A,2018-03-26,1,14,3,2018,3,26,1
A,2018-03-26,2,30,7,2018,3,26,1
A,2018-03-26,3,34,13,2018,3,26,1
A,2018-03-26,4,46,12,2018,3,26,1
A,2018-03-27,1,18,6,2018,3,27,2
A,2018-03-27,2,23,4,2018,3,27,2
A,2018-03-27,3,40,10,2018,3,27,2
A,2018-03-27,4,36,9,2018,3,27,2
A,2018-03-28,1,17,4,2018,3,28,3
A,2018-03-28,2,27,12,2018,3,28,3
A,2018-03-28,3,42,12,2018,3,28,3
A,2018-03-28,4,30,8,2018,3,28,3
A,2018-03-29,1,10,4,2018,3,29,4
A,2018-03-29,2,25,10,2018,3,29,4
A,2018-03-29,3,33,11,2018,3,29,4
A,2018-03-29,4,35,8,2018,3,29,4
A,2018-03-30,1,15,5,2018,3,30,5
A,2018-03-30,2,18,8,2018,3,30,5
A,2018-03-30,3,34,16,2018,3,30,5
A,2018-03-30,4,35,14,2018,3,30,5
A,2018-03-31,1,15,4,2018,3,31,6
A,2018-03-31,2,21,9,2018,3,31,6
A,2018-03-31,3,31,10,2018,3,31,6
A,2018-03-31,4,33,5,2018,3,31,6
A,2018-04-01,1,9,5,2018,4,1,7
A,2018-04-01,2,28,6,2018,4,1,7
A,2018-04-01,3,32,11,2018,4,1,7
A,2018-04-01,4,46,17,2018,4,1,7
A,2018-04-02,1,15,4,2018,4,2,1
A,2018-04-02,2,31,10,2018,4,2,1
A,2018-04-02,3,42,12,2018,4,2,1
A,2018-04-02,4,32,9,2018,4,2,1
A,2018-04-03,1,12,4,2018,4,3,2
A,2018-04-03,2,16,3,2018,4,3,2
A,2018-04-03,3,33,13,2018,4,3,2
A,2018-04-03,4,34,7,2018,4,3,2
A,2018-04-04,1,12,3,2018,4,4,3
A,2018-04-04,2,26,11,2018,4,4,3
A,2018-04-04,3,34,17,2018,4,4,3
A,2018-04-04,4,52,13,2018,4,4,3
A,2018-04-05,1,13,7,2018,4,5,4
A,2018-04-05,2,28,9,2018,4,5,4
A,2018-04-05,3,39,20,2018,4,5,4
A,2018-04-05,4,38,7,2018,4,5,4
A,2018-04-06,1,12,3,2018,4,6,5
A,2018-04-06,2,32,15,2018,4,6,5
A,2018-04-06,3,37,12,2018,4,6,5
A,2018-04-06,4,45,10,2018,4,6,5
A,2018-04-07,1,20,7,2018,4,7,6
A,2018-04-07,2,28,11,2018,4,7,6
A,2018-04-07,3,41,13,2018,4,7,6
A,2018-04-07,4,44,16,2018,4,7,6
A,2018-04-08,1,26,5,2018,4,8,7
A,2018-04-08,2,26,8,2018,4,8,7
A,2018-04-08,3,29,11,2018,4,8,7
A,2018-04-08,4,42,7,2018,4,8,7
A,2018-04-09,1,12,2,2018,4,9,1
A,2018-04-09,2,28,9,2018,4,9,1
A,2018-04-09,3,40,13,2018,4,9,1
A,2018-04-09,4,41,11,2018,4,9,1
A,2018-04-10,1,20,3,2018,4,10,2
A,2018-04-10,2,32,13,2018,4,10,2
A,2018-04-10,3,45,16,2018,4,10,2
A,2018-04-10,4,49,11,2018,4,10,2
A,2018-04-11,1,20,6,2018,4,11,3
A,2018-04-11,2,27,13,2018,4,11,3
A,2018-04-11,3,35,9,2018,4,11,3
A,2018-04-11,4,38,11,2018,4,11,3
A,2018-04-12,1,8,3,2018,4,12,4
A,2018-04-12,2,21,10,2018,4,12,4
A,2018-04-12,3,44,19,2018,4,12,4
A,2018-04-12,4,28,7,2018,4,12,4
A,2018-04-13,1,8,2,2018,4,13,5
A,2018-04-13,2,26,10,2018,4,13,5
A,2018-04-13,3,34,12,2018,4,13,5
A,2018-04-13,4,29,10,2018,4,13,5
A,2018-04-14,1,9,2,2018,4,14,6
A,2018-04-14,2,10,3,2018,4,14,6
A,2018-04-14,3,28,5,2018,4,14,6
A,2018-04-14,4,31,5,2018,4,14,6
A,2018-04-15,1,4,1,2018,4,15,7
A,2018-04-15,2,18,2,2018,4,15,7
A,2018-04-15,3,45,18,2018,4,15,7
A,2018-04-15,4,36,9,2018,4,15,7
A,2018-04-16,1,23,6,2018,4,16,1
A,2018-04-16,2,28,8,2018,4,16,1
A,2018-04-16,3,35,11,2018,4,16,1
A,2018-04-16,4,26,4,2018,4,16,1
A,2018-04-17,1,11,2,2018,4,17,2
A,2018-04-17,2,29,6,2018,4,17,2
A,2018-04-17,3,25,7,2018,4,17,2
A,2018-04-17,4,33,12,2018,4,17,2
A,2018-04-18,1,7,2,2018,4,18,3
A,2018-04-18,2,28,5,2018,4,18,3
A,2018-04-18,3,37,13,2018,4,18,3
A,2018-04-18,4,36,6,2018,4,18,3
A,2018-04-19,1,9,5,2018,4,19,4
A,2018-04-19,2,27,7,2018,4,19,4
A,2018-04-19,3,43,15,2018,4,19,4
A,2018-04-19,4,26,4,2018,4,19,4
A,2018-04-20,1,16,5,2018,4,20,5
A,2018-04-20,2,31,12,2018,4,20,5
A,2018-04-20,3,40,17,2018,4,20,5
A,2018-04-20,4,35,5,2018,4,20,5
A,2018-04-21,1,8,3,2018,4,21,6
A,2018-04-21,2,26,4,2018,4,21,6
A,2018-04-21,3,26,7,2018,4,21,6
A,2018-04-21,4,40,12,2018,4,21,6
A,2018-04-22,1,17,2,2018,4,22,7
A,2018-04-22,2,17,6,2018,4,22,7
A,2018-04-22,3,38,7,2018,4,22,7
A,2018-04-22,4,35,11,2018,4,22,7
A,2018-04-23,1,13,3,2018,4,23,1
A,2018-04-23,2,25,11,2018,4,23,1
A,2018-04-23,3,41,17,2018,4,23,1
A,2018-04-23,4,46,9,2018,4,23,1
A,2018-04-24,1,11,2,2018,4,24,2
A,2018-04-24,2,22,7,2018,4,24,2
A,2018-04-24,3,39,11,2018,4,24,2
A,2018-04-24,4,28,6,2018,4,24,2
A,2018-04-25,1,11,2,2018,4,25,3
A,2018-04-25,2,28,8,2018,4,25,3
A,2018-04-25,3,47,17,2018,4,25,3
A,2018-04-25,4,44,10,2018,4,25,3
A,2018-04-26,1,16,7,2018,4,26,4
A,2018-04-26,2,25,6,2018,4,26,4
A,2018-04-26,3,33,5,2018,4,26,4
A,2018-04-26,4,36,8,2018,4,26,4
A,2018-04-27,1,9,4,2018,4,27,5
A,2018-04-27,2,31,8,2018,4,27,5
A,2018-04-27,3,35,10,2018,4,27,5
A,2018-04-27,4,46,10,2018,4,27,5
A,2018-04-28,1,16,3,2018,4,28,6
A,2018-04-28,2,27,6,2018,4,28,6
A,2018-04-28,3,36,11,2018,4,28,6
A,2018-04-28,4,40,11,2018,4,28,6
A,2018-04-29,1,18,4,2018,4,29,7
A,2018-04-29,2,32,7,2018,4,29,7
A,2018-04-29,3,32,7,2018,4,29,7
A,2018-04-29,4,47,14,2018,4,29,7
A,2018-04-30,1,16,5,2018,4,30,1
A,2018-04-30,2,16,4,2018,4,30,1
A,2018-04-30,3,44,14,2018,4,30,1
A,2018-04-30,4,37,10,2018,4,30,1
A,2018-05-01,1,17,8,2018,5,1,2
A,2018-05-01,2,23,9,2018,5,1,2
A,2018-05-01,3,30,8,2018,5,1,2
A,2018-05-01,4,34,3,2018,5,1,2
A,2018-05-02,1,18,4,2018,5,2,3
A,2018-05-02,2,24,3,2018,5,2,3
A,2018-05-02,3,41,10,2018,5,2,3
A,2018-05-02,4,47,10,2018,5,2,3
A,2018-05-03,1,7,4,2018,5,3,4
A,2018-05-03,2,20,2,2018,5,3,4
A,2018-05-03,3,41,16,2018,5,3,4
A,2018-05-03,4,44,10,2018,5,3,4
A,2018-05-04,1,14,6,2018,5,4,5
A,2018-05-04,2,22,7,2018,5,4,5
A,2018-05-04,3,45,16,2018,5,4,5
A,2018-05-04,4,36,10,2018,5,4,5
A,2018-05-05,1,13,3,2018,5,5,6
A,2018-05-05,2,15,4,2018,5,5,6
A,2018-05-05,3,34,7,2018,5,5,6
A,2018-05-05,4,43,15,2018,5,5,6
A,2018-05-06,1,16,7,2018,5,6,7
A,2018-05-06,2,37,10,2018,5,6,7
A,2018-05-06,3,39,14,2018,5,6,7
A,2018-05-06,4,47,12,2018,5,6,7
A,2018-05-07,1,12,5,2018,5,7,1
A,2018-05-07,2,33,9,2018,5,7,1
A,2018-05-07,3,42,17,2018,5,7,1
A,2018-05-07,4,47,14,2018,5,7,1
A,2018-05-08,1,8,1,2018,5,8,2
A,2018-05-08,2,17,6,2018,5,8,2
A,2018-05-08,3,34,15,2018,5,8,2
A,2018-05-08,4,53,11,2018,5,8,2
A,2018-05-09,1,15,2,2018,5,9,3
A,2018-05-09,2,22,5,2018,5,9,3
A,2018-05-09,3,40,11,2018,5,9,3
A,2018-05-09,4,39,10,2018,5,9,3
A,2018-05-10,1,6,2,2018,5,10,4
A,2018-05-10,2,25,10,2018,5,10,4
A,2018-05-10,3,21,10,2018,5,10,4
A,2018-05-10,4,27,10,2018,5,10,4
A,2018-05-11,1,9,2,2018,5,11,5
A,2018-05-11,2,27,12,2018,5,11,5
A,2018-05-11,3,30,7,2018,5,11,5
A,2018-05-11,4,37,12,2018,5,11,5
A,2018-05-12,1,10,2,2018,5,12,6
A,2018-05-12,2,24,5,2018,5,12,6
A,2018-05-12,3,31,7,2018,5,12,6
A,2018-05-12,4,37,7,2018,5,12,6
A,2018-05-13,1,13,3,2018,5,13,7
A,2018-05-13,2,26,9,2018,5,13,7
A,2018-05-13,3,32,11,2018,5,13,7
A,2018-05-13,4,42,13,2018,5,13,7
A,2018-05-14,1,15,3,2018,5,14,1
A,2018-05-14,2,22,4,2018,5,14,1
A,2018-05-14,3,44,18,2018,5,14,1
A,2018-05-14,4,43,12,2018,5,14,1
A,2018-05-15,1,10,1,2018,5,15,2
A,2018-05-15,2,30,7,2018,5,15,2
A,2018-05-15,3,33,10,2018,5,15,2
A,2018-05-15,4,40,15,2018,5,15,2
A,2018-05-16,1,7,5,2018,5,16,3
A,2018-05-16,2,21,5,2018,5,16,3
A,2018-05-16,3,29,12,2018,5,16,3
A,2018-05-16,4,46,9,2018,5,16,3
A,2018-05-17,1,12,7,2018,5,17,4
A,2018-05-17,2,17,4,2018,5,17,4
A,2018-05-17,3,37,14,2018,5,17,4
A,2018-05-17,4,38,14,2018,5,17,4
A,2018-05-18,1,15,2,2018,5,18,5
A,2018-05-18,2,20,5,2018,5,18,5
A,2018-05-18,3,42,22,2018,5,18,5
A,2018-05-18,4,43,12,2018,5,18,5
A,2018-05-19,1,17,5,2018,5,19,6
A,2018-05-19,2,31,9,2018,5,19,6
A,2018-05-19,3,42,7,2018,5,19,6
A,2018-05-19,4,27,9,2018,5,19,6
A,2018-05-20,1,13,3,2018,5,20,7
A,2018-05-20,2,24,5,2018,5,20,7
A,2018-05-20,3,43,12,2018,5,20,7
A,2018-05-20,4,27,8,2018,5,20,7
A,2018-05-21,1,19,4,2018,5,21,1
A,2018-05-21,2,30,10,2018,5,21,1
A,2018-05-21,3,43,17,2018,5,21,1
A,2018-05-21,4,42,12,2018,5,21,1
A,2018-05-22,1,21,8,2018,5,22,2
A,2018-05-22,2,24,9,2018,5,22,2
A,2018-05-22,3,24,10,2018,5,22,2
A,2018-05-22,4,39,21,2018,5,22,2
A,2018-05-23,1,21,4,2018,5,23,3
A,2018-05-23,2,36,3,2018,5,23,3
A,2018-05-23,3,42,10,2018,5,23,3
A,2018-05-23,4,45,10,2018,5,23,3
A,2018-05-24,1,13,3,2018,5,24,4
A,2018-05-24,2,22,4,2018,5,24,4
A,2018-05-24,3,31,9,2018,5,24,4
A,2018-05-24,4,46,12,2018,5,24,4
A,2018-05-25,1,16,4,2018,5,25,5
A,2018-05-25,2,19,8,2018,5,25,5
A,2018-05-25,3,29,15,2018,5,25,5
A,2018-05-25,4,53,8,2018,5,25,5
