Site,Date,Hour,ED Enc,ED Enc Admitted
A,2018-04-04,1,12,3
A,2018-04-04,2,26,11
A,2018-04-04,3,34,17
A,2018-04-04,4,52,13
A,2018-04-05,1,13,7
A,2018-04-05,2,28,9
A,2018-04-05,3,39,20
A,2018-04-05,4,38,7
A,2018-04-06,1,12,3
A,2018-04-06,2,32,15
A,2018-04-06,3,37,12
A,2018-04-06,4,45,10
A,2018-04-07,1,20,7
A,2018-04-07,2,28,11
A,2018-04-07,3,41,13
A,2018-04-07,4,44,16
A,2018-04-08,1,26,5
A,2018-04-08,2,26,8
A,2018-04-08,3,29,11
A,2018-04-08,4,42,7
A,2018-04-09,1,12,2
A,2018-04-09,2,28,9
A,2018-04-09,3,40,13
A,2018-04-09,4,41,11
A,2018-04-10,1,20,3
A,2018-04-10,2,32,13
A,2018-04-10,3,45,16
A,2018-04-10,4,49,11
A,2018-04-11,1,20,6
A,2018-04-11,2,27,13
A,2018-04-11,3,35,9
A,2018-04-11,4,38,11
A,2018-04-12,1,8,3
A,2018-04-12,2,21,10
A,2018-04-12,3,44,19
A,2018-04-12,4,28,7
A,2018-04-13,1,8,2
A,2018-04-13,2,26,10
A,2018-04-13,3,34,12
A,2018-04-13,4,29,10
A,2018-04-14,1,9,2
A,2018-04-14,2,10,3
A,2018-04-14,3,28,5
A,2018-04-14,4,31,5
A,2018-04-15,1,4,1
A,2018-04-15,2,18,2
A,2018-04-15,3,45,18
A,2018-04-15,4,36,9
A,2018-04-16,1,23,6
A,2018-04-16,2,28,8
A,2018-04-16,3,35,11
A,2018-04-16,4,26,4
A,2018-04-17,1,11,2
A,2018-04-17,2,29,6
A,2018-04-17,3,25,7
A,2018-04-17,4,33,12
A,2018-04-18,1,7,2
A,2018-04-18,2,28,5
A,2018-04-18,3,37,13
A,2018-04-18,4,36,6
A,2018-04-19,1,9,5
A,2018-04-19,2,27,7
A,2018-04-19,3,43,15
A,2018-04-19,4,26,4
A,2018-04-20,1,16,5
A,2018-04-20,2,31,12
A,2018-04-20,3,40,17
A,2018-04-20,4,35,5
A,2018-04-21,1,8,3
A,2018-04-21,2,26,4
A,2018-04-21,3,26,7
A,2018-04-21,4,40,12
A,2018-04-22,1,17,2
A,2018-04-22,2,17,6
A,2018-04-22,3,38,7
A,2018-04-22,4,35,11
A,2018-04-23,1,13,3
A,2018-04-23,2,25,11
A,2018-04-23,3,41,17
A,2018-04-23,4,46,9
A,2018-04-24,1,11,2
A,2018-04-24,2,22,7
A,2018-04-24,3,39,11
A,2018-04-24,4,28,6
A,2018-04-25,1,11,2
A,2018-04-25,2,28,8
A,2018-04-25,3,47,17
A,2018-04-25,4,44,10
A,2018-04-26,1,16,7
A,2018-04-26,2,25,6
A,2018-04-26,3,33,5
A,2018-04-26,4,36,8
A,2018-04-27,1,9,4
A,2018-04-27,2,31,8
A,2018-04-27,3,35,10
A,2018-04-27,4,46,10
A,2018-04-28,1,16,3
A,2018-04-28,2,27,6
A,2018-04-28,3,36,11
A,2018-04-28,4,40,11
A,2018-04-29,1,18,4
A,2018-04-29,2,32,7
A,2018-04-29,3,32,7
A,2018-04-29,4,47,14
A,2018-04-30,1,16,5
A,2018-04-30,2,16,4
A,2018-04-30,3,44,14
A,2018-04-30,4,37,10
A,2018-05-01,1,17,8
A,2018-05-01,2,23,9
A,2018-05-01,3,30,8
A,2018-05-01,4,34,3
A,2018-05-02,1,18,4
A,2018-05-02,2,24,3
A,2018-05-02,3,41,10
A,2018-05-02,4,47,10
A,2018-05-03,1,7,4
A,2018-05-03,2,20,2
A,2018-05-03,3,41,16
A,2018-05-03,4,44,10
A,2018-05-04,1,14,6
A,2018-05-04,2,22,7
A,2018-05-04,3,45,16
A,2018-05-04,4,36,10
A,2018-05-05,1,13,3
A,2018-05-05,2,15,4
A,2018-05-05,3,34,7
A,2018-05-05,4,43,15
A,2018-05-06,1,16,7
A,2018-05-06,2,37,10
A,2018-05-06,3,39,14
A,2018-05-06,4,47,12
A,2018-05-07,1,12,5
A,2018-05-07,2,33,9
A,2018-05-07,3,42,17
A,2018-05-07,4,47,14
A,2018-05-08,1,8,1
A,2018-05-08,2,17,6
A,2018-05-08,3,34,15
A,2018-05-08,4,53,11
A,2018-05-09,1,15,2
A,2018-05-09,2,22,5
A,2018-05-09,3,40,11
A,2018-05-09,4,39,10
A,2018-05-10,1,6,2
A,2018-05-10,2,25,10
A,2018-05-10,3,21,10
A,2018-05-10,4,27,10
A,2018-05-11,1,9,2
A,2018-05-11,2,27,12
A,2018-05-11,3,30,7
A,2018-05-11,4,37,12
A,2018-05-12,1,10,2
A,2018-05-12,2,24,5
A,2018-05-12,3,31,7
A,2018-05-12,4,37,7
A,2018-05-13,1,13,3
A,2018-05-13,2,26,9
A,2018-05-13,3,32,11
A,2018-05-13,4,42,13
A,2018-05-14,1,15,3
A,2018-05-14,2,22,4
A,2018-05-14,3,44,18
A,2018-05-14,4,43,12
A,2018-05-15,1,10,1
A,2018-05-15,2,30,7
A,2018-05-15,3,33,10
A,2018-05-15,4,40,15
A,2018-05-16,1,7,5
A,2018-05-16,2,21,5
A,2018-05-16,3,29,12
A,2018-05-16,4,46,9
A,2018-05-17,1,12,7
A,2018-05-17,2,17,4
A,2018-05-17,3,37,14
A,2018-05-17,4,38,14
A,2018-05-18,1,15,2
A,2018-05-18,2,20,5
A,2018-05-18,3,42,22
A,2018-05-18,4,43,12
A,2018-05-19,1,17,5
A,2018-05-19,2,31,9
A,2018-05-19,3,42,7
A,2018-05-19,4,27,9
A,2018-05-20,1,13,3
A,2018-05-20,2,24,5
A,2018-05-20,3,43,12
A,2018-05-20,4,27,8
A,2018-05-21,1,19,4
A,2018-05-21,2,30,10
A,2018-05-21,3,43,17
A,2018-05-21,4,42,12
A,2018-05-22,1,21,8
A,2018-05-22,2,24,9
A,2018-05-22,3,24,10
A,2018-05-22,4,39,21
A,2018-05-23,1,21,4
A,2018-05-23,2,36,3
A,2018-05-23,3,42,10
A,2018-05-23,4,45,10
A,2018-05-24,1,13,3
A,2018-05-24,2,22,4
A,2018-05-24,3,31,9
A,2018-05-24,4,46,12
A,2018-05-25,1,16,4
A,2018-05-25,2,19,8
A,2018-05-25,3,29,15
A,2018-05-25,4,53,8
A,2018-05-26,1,14,6
A,2018-05-26,2,13,4
A,2018-05-26,3,38,11
A,2018-05-26,4,38,8
A,2018-05-27,1,19,8
A,2018-05-27,2,24,6
A,2018-05-27,3,34,14
A,2018-05-27,4,33,5
A,2018-05-28,1,15,7
A,2018-05-28,2,30,4
A,2018-05-28,3,51,16
A,2018-05-28,4,50,8
A,2018-05-29,1,14,4
A,2018-05-29,2,31,8
A,2018-05-29,3,40,11
A,2018-05-29,4,47,12
A,2018-05-30,1,17,5
A,2018-05-30,2,31,9
A,2018-05-30,3,40,7
A,2018-05-30,4,42,5
A,2018-05-31,1,15,6
A,2018-05-31,2,23,8
A,2018-05-31,3,36,15
A,2018-05-31,4,45,13
A,2018-06-01,1,14,6
A,2018-06-01,2,21,8
A,2018-06-01,3,50,28
A,2018-06-01,4,30,9
A,2018-06-02,1,11,2
A,2018-06-02,2,31,10
A,2018-06-02,3,44,9
A,2018-06-02,4,46,10
A,2018-06-03,1,22,3
A,2018-06-03,2,21,7
A,2018-06-03,3,61,14
A,2018-06-03,4,42,12
A,2018-06-04,1,19,3
A,2018-06-04,2,23,10
A,2018-06-04,3,47,16
A,2018-06-04,4,38,13
A,2018-06-05,1,11,2
A,2018-06-05,2,20,9
A,2018-06-05,3,32,4
A,2018-06-05,4,42,15
A,2018-06-06,1,9,4
A,2018-06-06,2,20,9
A,2018-06-06,3,32,8
A,2018-06-06,4,43,13
A,2018-06-07,1,11,2
A,2018-06-07,2,25,10
A,2018-06-07,3,34,10
A,2018-06-07,4,37,8
A,2018-06-08,1,10,2
A,2018-06-08,2,18,8
A,2018-06-08,3,46,14
A,2018-06-08,4,30,15
A,2018-06-09,1,14,5
A,2018-06-09,2,26,8
A,2018-06-09,3,41,10
A,2018-06-09,4,44,9
A,2018-06-10,1,17,3
A,2018-06-10,2,25,5
A,2018-06-10,3,51,12
A,2018-06-10,4,46,16
A,2018-06-11,1,16,1
A,2018-06-11,2,26,8
A,2018-06-11,3,43,13
A,2018-06-11,4,44,14
A,2018-06-12,1,10,3
A,2018-06-12,2,20,3
A,2018-06-12,3,38,9
A,2018-06-12,4,35,9
A,2018-06-13,1,18,6
A,2018-06-13,2,31,12
A,2018-06-13,3,35,9
A,2018-06-13,4,51,14
A,2018-06-14,1,12,1
A,2018-06-14,2,26,7
A,2018-06-14,3,35,16
A,2018-06-14,4,49,12
A,2018-06-15,1,9,3
A,2018-06-15,2,28,10
A,2018-06-15,3,32,8
A,2018-06-15,4,42,5
A,2018-06-16,1,8,6
A,2018-06-16,2,31,8
A,2018-06-16,3,36,12
A,2018-06-16,4,43,17
A,2018-06-17,1,13,6
A,2018-06-17,2,29,7
A,2018-06-17,3,31,8
A,2018-06-17,4,37,9
A,2018-06-18,1,17,4
A,2018-06-18,2,26,9
A,2018-06-18,3,46,16
A,2018-06-18,4,41,6
A,2018-06-19,1,15,3
A,2018-06-19,2,29,7
A,2018-06-19,3,38,11
A,2018-06-19,4,33,10
A,2018-06-20,1,8,5
A,2018-06-20,2,24,9
A,2018-06-20,3,26,12
A,2018-06-20,4,38,6
A,2018-06-21,1,12,6
A,2018-06-21,2,23,5
A,2018-06-21,3,33,7
A,2018-06-21,4,30,6
A,2018-06-22,1,19,6
A,2018-06-22,2,30,10
A,2018-06-22,3,27,16
A,2018-06-22,4,42,15
A,2018-06-23,1,15,6
A,2018-06-23,2,18,2
A,2018-06-23,3,34,10
A,2018-06-23,4,43,14
A,2018-06-24,1,14,7
A,2018-06-24,2,24,11
A,2018-06-24,3,43,11
A,2018-06-24,4,37,11
A,2018-06-25,1,7,2
A,2018-06-25,2,21,2
A,2018-06-25,3,53,18
A,2018-06-25,4,32,7
A,2018-06-26,1,13,4
A,2018-06-26,2,28,9
A,2018-06-26,3,35,15
A,2018-06-26,4,38,12
A,2018-06-27,1,19,4
A,2018-06-27,2,21,4
A,2018-06-27,3,41,11
A,2018-06-27,4,47,8
A,2018-06-28,1,10,5
A,2018-06-28,2,14,2
A,2018-06-28,3,39,14
A,2018-06-28,4,44,13
A,2018-06-29,1,10,4
A,2018-06-29,2,26,8
A,2018-06-29,3,44,18
A,2018-06-29,4,40,13
A,2018-06-30,1,21,8
A,2018-06-30,2,24,4
A,2018-06-30,3,38,8
A,2018-06-30,4,50,13
A,2018-07-01,1,18,6
A,2018-07-01,2,29,6
A,2018-07-01,3,36,10
A,2018-07-01,4,40,13
A,2018-07-02,1,11,2
A,2018-07-02,2,19,7
A,2018-07-02,3,33,13
A,2018-07-02,4,45,14
A,2018-07-03,1,18,7
A,2018-07-03,2,17,5
A,2018-07-03,3,38,14
A,2018-07-03,4,46,11
A,2018-07-04,1,17,6
A,2018-07-04,2,27,9
A,2018-07-04,3,26,7
A,2018-07-04,4,27,5
A,2018-07-05,1,15,5
A,2018-07-05,2,22,5
A,2018-07-05,3,36,8
A,2018-07-05,4,36,9
A,2018-07-06,1,17,4
A,2018-07-06,2,31,12
A,2018-07-06,3,40,14
A,2018-07-06,4,39,12
A,2018-07-07,1,16,2
A,2018-07-07,2,27,5
A,2018-07-07,3,46,18
A,2018-07-07,4,51,20
A,2018-07-08,1,18,3
A,2018-07-08,2,26,4
A,2018-07-08,3,43,10
A,2018-07-08,4,41,13
A,2018-07-09,1,9,5
A,2018-07-09,2,27,9
A,2018-07-09,3,42,18
A,2018-07-09,4,38,13
A,2018-07-10,1,20,6
A,2018-07-10,2,20,6
A,2018-07-10,3,33,12
A,2018-07-10,4,36,8
A,2018-07-11,1,12,3
A,2018-07-11,2,34,12
A,2018-07-11,3,29,15
A,2018-07-11,4,48,11
A,2018-07-12,1,12,7
A,2018-07-12,2,30,8
A,2018-07-12,3,36,11
A,2018-07-12,4,27,8
A,2018-07-13,1,14,3
A,2018-07-13,2,18,5
A,2018-07-13,3,38,16
A,2018-07-13,4,40,10
A,2018-07-14,1,15,3
A,2018-07-14,2,17,8
A,2018-07-14,3,37,12
A,2018-07-14,4,40,14
A,2018-07-15,1,18,6
A,2018-07-15,2,29,9
A,2018-07-15,3,37,11
A,2018-07-15,4,33,11
A,2018-07-16,1,21,10
A,2018-07-16,2,26,8
A,2018-07-16,3,38,20
A,2018-07-16,4,46,13
A,2018-07-17,1,16,7
A,2018-07-17,2,19,6
A,2018-07-17,3,41,14
A,2018-07-17,4,43,6
A,2018-07-18,1,14,4
A,2018-07-18,2,20,6
A,2018-07-18,3,37,8
A,2018-07-18,4,40,11
A,2018-07-19,1,14,2
A,2018-07-19,2,22,6
A,2018-07-19,3,42,15
A,2018-07-19,4,44,16
A,2018-07-20,1,7,1
A,2018-07-20,2,23,6
A,2018-07-20,3,38,8
A,2018-07-20,4,40,8
A,2018-07-21,1,12,6
A,2018-07-21,2,25,7
A,2018-07-21,3,31,14
A,2018-07-21,4,41,8
A,2018-07-22,1,23,9
A,2018-07-22,2,32,9
A,2018-07-22,3,46,11
A,2018-07-22,4,43,9
A,2018-07-23,1,13,4
A,2018-07-23,2,31,11
A,2018-07-23,3,39,16
A,2018-07-23,4,48,13
A,2018-07-24,1,8,3
A,2018-07-24,2,33,8
A,2018-07-24,3,34,14
A,2018-07-24,4,48,16
A,2018-07-25,1,18,7
A,2018-07-25,2,24,5
A,2018-07-25,3,30,8
A,2018-07-25,4,35,11
A,2018-07-26,1,12,6
A,2018-07-26,2,29,14
A,2018-07-26,3,39,16
A,2018-07-26,4,38,11
A,2018-07-27,1,13,7
A,2018-07-27,2,21,2
A,2018-07-27,3,29,13
A,2018-07-27,4,46,13
A,2018-07-28,1,15,4
A,2018-07-28,2,23,6
A,2018-07-28,3,37,7
A,2018-07-28,4,31,8
A,2018-07-29,1,21,3
A,2018-07-29,2,25,6
A,2018-07-29,3,46,10
A,2018-07-29,4,40,12
A,2018-07-30,1,17,4
A,2018-07-30,2,29,12
A,2018-07-30,3,43,14
A,2018-07-30,4,36,9
A,2018-07-31,1,11,5
A,2018-07-31,2,19,5
A,2018-07-31,3,41,13
A,2018-07-31,4,48,16
A,2018-08-01,1,9,2
A,2018-08-01,2,26,8
A,2018-08-01,3,52,22
A,2018-08-01,4,45,10
A,2018-08-02,1,14,4
A,2018-08-02,2,18,6
A,2018-08-02,3,31,9
A,2018-08-02,4,50,22
A,2018-08-03,1,17,8
A,2018-08-03,2,27,8
A,2018-08-03,3,38,19
A,2018-08-03,4,41,9
A,2018-08-04,1,10,4
A,2018-08-04,2,27,7
A,2018-08-04,3,32,9
A,2018-08-04,4,47,19
A,2018-08-05,1,15,6
A,2018-08-05,2,32,7
A,2018-08-05,3,39,10
A,2018-08-05,4,31,8
A,2018-08-06,1,10,2
A,2018-08-06,2,33,12
A,2018-08-06,3,47,17
A,2018-08-06,4,48,14
A,2018-08-07,1,15,7
A,2018-08-07,2,28,9
A,2018-08-07,3,34,12
A,2018-08-07,4,36,6
A,2018-08-08,1,18,6
A,2018-08-08,2,28,9
A,2018-08-08,3,43,15
A,2018-08-08,4,45,16
A,2018-08-09,1,17,6
A,2018-08-09,2,32,10
A,2018-08-09,3,46,15
A,2018-08-09,4,36,12
A,2018-08-10,1,15,6
A,2018-08-10,2,23,9
A,2018-08-10,3,37,5
A,2018-08-10,4,33,14
A,2018-08-11,1,11,5
A,2018-08-11,2,25,8
A,2018-08-11,3,36,6
A,2018-08-11,4,41,11
A,2018-08-12,1,20,7
A,2018-08-12,2,26,8
A,2018-08-12,3,45,11
A,2018-08-12,4,44,14
A,2018-08-13,1,13,5
A,2018-08-13,2,33,12
A,2018-08-13,3,43,14
A,2018-08-13,4,51,14
A,2018-08-14,1,17,1
A,2018-08-14,2,27,12
A,2018-08-14,3,28,10
A,2018-08-14,4,39,8
A,2018-08-15,1,25,12
A,2018-08-15,2,26,8
A,2018-08-15,3,38,14
A,2018-08-15,4,42,11
A,2018-08-16,1,13,4
A,2018-08-16,2,26,7
A,2018-08-16,3,34,6
A,2018-08-16,4,39,5
A,2018-08-17,1,5,2
A,2018-08-17,2,23,8
A,2018-08-17,3,38,14
A,2018-08-17,4,45,9
A,2018-08-18,1,12,3
A,2018-08-18,2,25,11
A,2018-08-18,3,41,10
A,2018-08-18,4,39,8
A,2018-08-19,1,23,6
A,2018-08-19,2,32,11
A,2018-08-19,3,43,7
A,2018-08-19,4,37,8
A,2018-08-20,1,17,5
A,2018-08-20,2,24,4
A,2018-08-20,3,42,10
A,2018-08-20,4,47,11
A,2018-08-21,1,8,2
