Year,Month,Weekday,Site,ED Enc,ED Enc Admitted
2020,3.5666666666666664,3,B,130,34
2023,10.4,5,B,180,54
2025,1.0666666666666667,5,D,79,9
2021,8.066666666666666,2,A,125,43
2024,8.2,3,B,190,51
2021,1.7,5,B,128,41
2022,9.9,3,A,120,39
2019,9.566666666666666,3,C,96,25
2024,4.566666666666666,4,A,136,50
2024,12.433333333333334,6,C,102,25
2021,10.933333333333334,5,B,154,37
2018,5.233333333333333,2,C,113,33
2020,2.8,2,A,122,38
2025,8.6,2,B,180,41
2019,6.533333333333333,1,D,87,14
2022,1.7333333333333334,7,D,57,9
2022,2.4333333333333336,1,B,167,49
2022,2.1,5,C,100,36
2021,7.9,3,C,118,37
2021,11.233333333333333,1,A,153,47
2021,9.4,1,A,140,45
2022,10.333333333333334,2,D,85,20
2018,3.4,2,D,78,12
2025,7.2,1,A,133,45
2024,9.4,5,B,167,37
2021,3.4,6,D,54,12
2023,3.7,3,D,69,8
2019,8.8,7,D,82,14
2020,12.133333333333333,6,D,60,10
2025,2.8,2,A,148,44
2025,4.366666666666666,6,A,129,45
2019,2.466666666666667,5,D,76,18
2023,5.5,2,A,139,49
2022,11.966666666666667,3,A,104,45
2022,6.333333333333333,6,B,169,43
2024,10.533333333333333,4,D,70,17
2025,2.466666666666667,6,B,173,41
2023,8.366666666666667,6,B,159,41
2025,2.066666666666667,1,C,96,28
2025,8.866666666666667,3,D,75,11
2018,6.533333333333333,7,D,86,10
2023,6.733333333333333,5,C,105,36
2024,3.5,6,A,121,32
2023,9.633333333333333,3,B,173,40
2019,1.5666666666666667,5,A,111,46
2022,10.566666666666666,2,C,107,32
2022,2.6333333333333333,7,B,176,37
2018,8.4,1,C,107,32
2022,9.933333333333334,4,C,107,37
2020,7.7,3,D,90,13
2025,6.4,5,B,174,46
2024,7.5,2,D,87,18
2021,9.366666666666667,7,A,117,30
2025,6.8,3,D,75,15
2024,10.6,6,A,122,49
2018,4.7,7,C,90,26
2021,1.9333333333333333,5,A,96,33
2022,12.033333333333333,5,B,166,40
2018,11.8,7,D,52,10
2021,1.0333333333333334,6,A,99,29
2023,10.0,7,C,97,30
2021,7.033333333333333,5,B,139,35
2021,7.8,7,C,84,30
2022,7.266666666666667,6,C,101,26
2024,3.1333333333333333,2,C,93,35
2024,11.233333333333333,5,D,77,18
2020,9.9,1,B,144,24
2021,2.2666666666666666,2,B,139,39
2018,7.366666666666666,4,D,78,7
2018,10.433333333333334,7,B,159,36
2022,6.133333333333334,7,B,173,46
2024,2.4333333333333336,3,C,92,30
2021,12.233333333333333,3,B,161,37
2018,9.366666666666667,3,C,83,27
2023,4.7,6,A,92,30
2025,5.766666666666667,6,C,86,25
2021,10.3,7,C,96,27
2022,6.366666666666666,7,C,108,36
2022,9.633333333333333,2,B,198,55
2018,10.2,7,B,165,32
2021,9.7,3,D,62,10
2021,8.433333333333334,6,B,160,44
2021,10.6,2,A,124,46
2023,6.5,5,D,81,19
2020,10.466666666666667,4,D,67,12
2021,1.9666666666666668,6,A,107,25
2022,11.233333333333333,2,C,98,32
2020,3.8333333333333335,4,D,55,11
2018,6.433333333333334,4,A,122,36
2024,11.066666666666666,7,D,86,17
2019,10.933333333333334,2,C,85,23
2019,5.133333333333334,7,D,65,8
2022,10.733333333333333,7,D,75,9
2023,11.6,7,D,62,14
2021,1.2333333333333334,5,D,57,5
2019,6.8,2,B,175,47
2023,11.533333333333333,5,B,190,53
2023,1.6,4,C,75,25
2020,10.233333333333333,4,D,78,14
2021,5.766666666666667,1,D,87,10
2018,7.5,1,B,188,37
2019,10.3,4,D,68,11
2022,5.466666666666667,7,B,194,48
2024,9.766666666666666,2,C,116,40
2023,4.566666666666666,2,A,137,50
2023,11.466666666666667,3,C,112,38
2020,11.4,5,A,106,36
2023,13.0,7,B,205,42
2020,8.9,5,C,66,29
2021,4.333333333333333,7,D,59,9
2022,1.5,7,C,90,29
2022,3.7666666666666666,4,D,73,13
2022,1.9,5,B,164,51
2018,6.3,7,D,84,16
2021,2.7333333333333334,2,D,80,16
2019,2.1,1,A,140,40
2021,8.166666666666666,5,A,128,45
2024,4.666666666666667,7,B,206,48
2025,5.766666666666667,6,D,77,9
2018,3.533333333333333,6,B,163,26
2025,1.5666666666666667,6,D,65,6
2023,1.1666666666666667,5,A,125,49
2024,8.0,3,B,150,25
2023,10.933333333333334,7,B,172,37
2019,6.5,7,C,80,27
2021,6.633333333333333,7,B,151,52
2023,8.4,7,D,86,15
2023,1.8333333333333335,4,B,149,41
2023,8.066666666666666,4,C,113,42
2020,9.533333333333333,4,C,92,25
2020,3.3666666666666667,4,B,154,42
2024,1.4333333333333333,7,D,71,16
2023,7.8,2,A,112,33
2024,2.1333333333333333,1,B,179,42
2024,9.366666666666667,4,B,184,54
2018,12.866666666666667,4,C,91,28
2024,4.466666666666667,1,A,130,38
2018,6.7,5,B,153,37
2023,7.4,4,B,183,55
2022,6.766666666666667,5,C,100,33
2022,9.5,5,D,79,10
2018,1.3666666666666667,5,A,113,47
2023,10.533333333333333,2,A,150,53
2023,10.533333333333333,2,B,169,53
2018,2.3,6,D,71,13
2024,6.166666666666667,4,D,64,10
2020,10.833333333333334,1,C,80,20
2023,7.566666666666666,2,D,77,15
2024,12.9,6,A,123,31
2023,3.3333333333333335,6,C,84,26
2024,2.3,6,A,102,35
2024,2.533333333333333,6,A,129,44
2020,6.6,5,A,107,41
2020,9.3,4,A,101,34
2020,6.066666666666666,3,B,135,44
2021,1.0,5,A,91,32
2018,11.466666666666667,4,A,100,34
2020,12.233333333333333,2,B,141,44
2019,10.733333333333333,3,A,121,39
2025,6.266666666666667,1,C,126,43
2023,1.3666666666666667,4,D,71,7
2021,11.5,2,C,95,23
2018,2.3,6,B,172,45
2021,2.1,4,D,55,6
2018,5.066666666666666,4,B,159,44
2021,8.766666666666666,2,A,153,46
2020,6.433333333333334,7,B,168,35
2022,11.8,5,B,178,44
2025,1.3333333333333333,6,C,99,31
2018,11.966666666666667,5,D,64,8
2020,11.233333333333333,7,D,75,13
2023,8.166666666666666,7,B,202,50
2025,8.733333333333333,6,C,114,31
2018,10.433333333333334,7,D,60,5
2021,5.2,5,D,79,13
2025,3.8333333333333335,3,D,76,14
2019,8.0,4,B,159,43
2023,6.133333333333334,1,B,173,42
2020,8.1,2,A,121,51
2020,2.6333333333333333,4,B,156,40
2024,2.3666666666666667,1,C,103,35
2022,4.866666666666667,3,A,114,29
2018,12.7,6,A,120,39
2020,5.2,4,A,90,35
2020,6.333333333333333,4,A,98,25
2023,11.833333333333334,7,B,206,52
2022,4.8,1,A,128,42
2023,4.8,2,C,94,36
2024,7.7,1,B,194,55
2023,8.6,6,A,121,38
2025,8.7,5,C,108,29
2020,1.9333333333333333,3,B,154,40
2018,6.833333333333333,2,C,98,27
2018,1.9,7,C,96,25
2019,3.7666666666666666,7,A,115,29
2019,2.8,1,C,98,32
2020,1.5333333333333332,5,A,78,27
2018,8.7,3,A,110,36
2018,3.0,4,B,167,43
2021,1.8666666666666667,3,B,126,36
2023,11.033333333333333,4,B,173,29
2024,5.233333333333333,3,A,134,45
2024,6.966666666666667,7,B,156,49
2020,8.833333333333334,3,D,82,7
2023,2.0,2,C,89,31
2024,12.1,3,A,139,42
2018,10.0,1,B,160,40
2018,12.2,5,B,147,40
2023,2.2333333333333334,3,B,169,36
2019,10.066666666666666,4,A,138,48
2020,1.1666666666666667,1,B,180,50
2018,6.8,1,C,112,39
2024,4.933333333333334,1,C,108,37
2020,4.266666666666667,4,C,48,17
2023,4.5,7,D,52,8
2024,11.7,5,A,120,48
2019,1.1333333333333333,6,C,73,21
2021,11.2,7,B,172,38
2019,11.8,1,C,90,21
2023,5.566666666666666,4,C,95,32
2022,10.7,6,D,78,8
2018,7.2,6,A,140,45
2022,12.9,3,C,84,28
2021,5.933333333333334,6,D,90,15
2022,4.533333333333333,7,D,69,6
2025,3.7333333333333334,7,C,97,33
2020,11.366666666666667,4,A,108,44
2024,2.8666666666666667,2,B,125,28
2025,8.8,1,D,75,14
2018,11.366666666666667,1,C,91,32
2025,7.7,2,C,106,33
2024,11.766666666666666,7,D,72,15
2019,4.766666666666667,3,D,53,10
2018,6.233333333333333,5,C,73,21
2023,2.3666666666666667,7,D,63,12
2019,6.2,5,A,119,30
2025,1.2,2,D,82,13
2021,8.0,6,C,96,32
2020,7.466666666666667,3,D,69,18
2018,8.333333333333334,6,A,113,30
2019,10.866666666666667,7,C,90,21
2019,10.433333333333334,1,A,111,36
2024,1.6333333333333333,6,C,95,26
2018,6.033333333333333,6,C,80,23
2019,6.366666666666666,3,B,150,43
2019,7.8,4,A,115,47
2021,8.233333333333333,7,A,132,39
2021,7.133333333333334,1,C,107,29
2022,5.3,2,D,77,18
2024,12.366666666666667,4,A,111,30
2019,6.066666666666666,1,A,122,43
2024,2.5,5,C,102,34
2021,9.966666666666667,4,D,83,15
2022,5.266666666666667,1,A,130,61
2024,12.766666666666666,2,A,121,40
2019,5.933333333333334,3,D,97,13
2023,10.2,6,A,132,42
2024,3.4,3,C,121,39
2023,3.2666666666666666,4,B,173,43
2022,7.966666666666667,6,B,186,43
2024,2.4,2,C,119,39
2018,5.2,1,D,80,19
2021,6.0,2,D,88,14
2019,12.633333333333333,5,A,119,32
2020,8.233333333333333,6,B,151,32
2020,3.6333333333333333,5,D,45,12
2021,7.833333333333333,1,D,81,7
2023,1.5666666666666667,3,D,75,17
2018,8.533333333333333,5,B,154,39
2018,8.0,3,A,132,42
2018,2.466666666666667,4,C,75,23
2024,4.333333333333333,4,A,137,42
2018,11.433333333333334,3,C,79,23
2020,6.466666666666667,1,A,109,43
2022,9.766666666666666,6,D,64,13
2022,10.233333333333333,6,C,111,28
2023,3.466666666666667,3,D,59,6
2025,4.0,1,D,81,20
2024,1.6666666666666665,7,A,103,36
2020,5.266666666666667,6,B,110,19
2019,11.933333333333334,5,B,155,44
2025,2.6666666666666665,5,B,200,64
2025,7.033333333333333,3,D,78,9
2018,6.833333333333333,2,B,163,39
2024,11.5,6,B,177,47
2022,5.466666666666667,7,C,109,27
2018,10.233333333333333,1,D,77,19
2022,8.233333333333333,1,D,81,15
2024,1.3,3,C,115,46
2024,5.566666666666666,6,B,196,39
2025,6.366666666666666,4,A,148,51
2019,10.233333333333333,2,D,78,10
2021,9.1,6,A,138,40
2018,9.833333333333334,3,A,144,54
2021,1.5,6,C,81,26
2024,4.9,7,C,100,37
2023,6.0,3,D,62,8
2023,4.133333333333334,3,B,133,35
2021,6.366666666666666,6,D,95,10
2024,8.1,7,C,110,28
2025,7.3,4,C,108,34
2018,6.066666666666666,7,A,146,36
2019,5.866666666666667,1,A,133,34
2019,9.666666666666666,6,D,91,15
2019,12.966666666666667,1,D,83,14
2019,8.333333333333334,7,D,80,12
2025,6.633333333333333,5,C,106,40
2023,3.5666666666666664,6,C,97,30
2018,3.9333333333333336,4,B,127,40
2024,11.6,2,B,182,53
2022,11.466666666666667,2,C,103,37
2021,6.333333333333333,5,B,178,48
2018,10.6,5,B,128,30
2023,7.6,3,A,128,43
2019,2.1333333333333333,2,A,127,36
2023,10.933333333333334,7,D,68,8
2024,4.766666666666667,3,D,69,11
2018,8.066666666666666,5,D,92,12
2020,10.933333333333334,4,D,57,11
2022,3.0,2,D,63,14
2022,6.266666666666667,4,B,148,35
2020,11.066666666666666,2,C,89,31
2019,1.9333333333333333,2,B,125,37
2019,6.3,1,C,96,31
2019,1.5333333333333332,4,D,60,10
2019,10.966666666666667,3,D,60,12
2023,12.866666666666667,3,B,188,57
2024,11.3,7,A,112,37
2020,11.8,3,D,56,12
2020,10.133333333333333,1,A,131,53
2021,7.4,2,B,161,35
2022,10.8,2,D,75,12
2018,7.066666666666666,2,A,119,37
2018,6.366666666666666,2,A,103,24
2021,4.6,1,C,101,34
2024,11.366666666666667,2,D,70,15
2020,10.233333333333333,4,C,83,21
2024,11.966666666666667,6,A,107,30
2021,1.0,5,D,54,15
2025,3.0,6,D,65,10
2020,11.766666666666666,2,D,70,21
2023,6.266666666666667,5,D,86,15
2022,7.966666666666667,6,C,89,26
2019,10.333333333333334,5,D,67,15
2022,9.566666666666666,7,D,68,10
2020,9.933333333333334,2,D,82,18
2023,4.0,5,D,74,21
2021,9.966666666666667,4,C,112,33
2023,9.266666666666667,6,C,109,32
2025,3.3666666666666667,3,D,74,14
2022,9.0,3,C,92,32
2023,7.433333333333334,5,A,138,41
2024,6.7,6,B,170,50
2018,7.7,7,D,69,4
2022,6.466666666666667,3,A,128,48
2023,2.466666666666667,3,C,87,34
2021,7.866666666666667,2,C,92,36
2020,1.2,2,C,84,29
2023,4.0,6,C,95,26
2019,12.866666666666667,5,D,90,11
2024,1.6333333333333333,6,B,177,41
2021,10.2,4,B,168,42
2021,5.3,1,B,165,39
2022,7.1,1,B,174,51
2020,6.2,7,B,152,41
2022,8.266666666666667,2,C,85,22
2022,8.9,7,D,75,16
2024,5.033333333333333,4,D,61,14
2023,6.0,3,B,183,49
2022,3.0,2,C,97,32
2023,11.166666666666666,1,B,194,52
2023,9.866666666666667,3,D,80,13
2018,8.033333333333333,4,A,113,41
2022,7.633333333333333,3,C,106,29
2023,11.933333333333334,3,C,110,40
2023,2.3,5,B,169,39
2020,1.8,6,C,83,26
2018,10.3,3,D,68,14
2023,9.333333333333334,1,D,75,14
2018,2.7,4,B,136,29
2022,8.166666666666666,6,C,88,27
2018,11.233333333333333,4,B,147,37
2021,12.066666666666666,5,B,183,48
2025,2.7666666666666666,1,B,215,63
2024,12.266666666666667,1,C,115,28
2024,11.7,5,B,160,45
2018,8.866666666666667,1,B,158,31
2025,2.033333333333333,7,D,65,17
2020,9.566666666666666,5,A,106,31
2021,10.733333333333333,6,D,70,14
2024,4.433333333333334,7,C,101,32
2021,2.4,6,A,90,31
2023,9.366666666666667,2,D,80,14
2024,3.7,5,B,177,61
2023,2.1,6,C,108,27
2025,6.333333333333333,3,D,72,17
2019,4.9,7,B,163,31
2020,7.2,2,D,78,11
2020,10.933333333333334,4,A,130,35
2022,4.2,4,C,96,32
2019,5.1,6,A,124,37
2024,1.1333333333333333,5,C,90,32
2025,3.8666666666666667,4,C,110,36
2025,7.366666666666666,6,B,199,48
2024,7.266666666666667,2,C,116,35
2019,5.766666666666667,5,D,75,10
2020,6.933333333333334,1,A,97,37
2023,9.7,5,C,105,42
2024,12.866666666666667,5,C,108,34
2021,4.733333333333333,5,A,121,42
2025,8.333333333333334,1,A,152,48
2025,2.8333333333333335,3,A,162,49
2023,3.066666666666667,5,B,189,49
2021,1.0666666666666667,7,B,134,31
2024,11.933333333333334,5,C,119,37
2018,1.6,5,D,77,17
2018,10.633333333333333,6,C,99,32
2018,2.0,3,C,83,32
2020,2.0,6,A,117,22
2018,3.7333333333333334,5,B,155,42
2019,1.9666666666666668,3,C,83,25
2023,2.2,2,A,130,48
2021,1.3666666666666667,2,D,52,14
2020,11.6,4,A,122,44
2020,8.1,2,B,177,60
2024,1.3333333333333333,4,B,190,43
2022,10.0,6,D,90,20
2025,3.533333333333333,1,D,81,12
2022,1.8333333333333335,3,B,176,43
2020,1.2666666666666666,4,B,159,46
2023,7.466666666666667,6,C,96,28
2021,8.066666666666666,2,C,98,28
2020,9.5,3,A,116,48
2018,10.666666666666666,7,B,181,38
2022,11.766666666666666,4,B,173,35
2018,8.7,3,B,159,34
2023,4.066666666666666,1,C,112,37
2020,7.533333333333333,5,A,125,33
2024,1.6,5,B,167,45
2021,7.266666666666667,5,A,152,55
2019,3.7666666666666666,7,B,174,31
2024,12.0,7,C,89,39
2024,10.966666666666667,3,B,180,40
2020,9.333333333333334,5,D,75,16
2021,5.5,7,C,103,36
2022,2.3666666666666667,6,D,73,9
2023,1.5,1,B,173,39
2022,9.866666666666667,2,A,117,36
2019,7.566666666666666,4,B,176,47
2021,2.9,7,D,55,7
2020,6.266666666666667,2,B,123,43
2021,4.8,7,D,69,13
2023,8.166666666666666,7,D,70,13
2020,9.833333333333334,6,C,73,17
2025,6.233333333333333,7,B,174,37
2024,1.5,2,A,112,42
2020,11.366666666666667,4,D,59,11
2025,3.2333333333333334,6,B,179,40
2020,9.533333333333333,4,B,155,32
2019,12.9,6,D,74,6
2022,2.6333333333333333,7,D,75,10
2020,6.666666666666667,7,A,121,34
2018,7.033333333333333,1,C,74,27
2020,9.666666666666666,1,C,115,31
2020,5.466666666666667,5,C,75,24
2020,4.966666666666667,4,A,74,24
2021,12.166666666666666,1,B,164,50
2023,7.7,6,B,155,42
2019,12.566666666666666,3,C,91,26
2020,3.2666666666666666,1,A,138,41
2018,12.866666666666667,4,A,117,40
2018,5.666666666666667,1,B,165,37
2024,7.2,7,C,122,49
2025,2.3,1,A,127,32
2022,12.433333333333334,3,C,115,29
2021,10.266666666666667,6,D,79,12
2023,8.733333333333333,3,C,119,39
2020,11.833333333333334,4,C,71,21
2019,12.0,7,B,160,35
2019,6.033333333333333,7,C,93,20
2022,7.866666666666667,3,A,102,26
2020,9.466666666666667,2,A,102,33
2020,11.733333333333333,1,C,95,28
2021,3.2,7,B,174,39
2020,4.966666666666667,4,C,78,25
2025,4.9,1,A,121,46
2021,3.2666666666666666,2,C,68,25
2019,6.833333333333333,3,C,111,34
2025,7.5,3,B,178,42
2022,7.033333333333333,6,C,93,24
2024,11.833333333333334,2,D,59,12
2025,3.966666666666667,7,D,66,14
2018,3.0,4,D,77,13
2019,7.833333333333333,5,D,91,17
2021,4.966666666666667,5,A,132,50
2024,7.333333333333333,4,A,131,50
2019,9.9,6,C,85,31
2021,5.133333333333334,3,A,127,44
2021,9.633333333333333,1,D,64,10
2023,2.3333333333333335,6,B,168,36
2018,2.066666666666667,6,C,102,21
2025,7.9,1,C,118,35
2024,7.7,1,D,75,7
2022,8.766666666666666,3,C,93,36
2022,6.533333333333333,5,A,117,37
2021,1.2333333333333334,5,A,116,34
2019,8.033333333333333,5,A,107,41
2025,1.5,4,B,191,56
2021,1.6333333333333333,3,B,138,44
2020,5.666666666666667,4,B,138,44
2020,5.633333333333333,3,C,63,31
2019,1.7666666666666666,4,C,79,15
